USER_ID,TV_201711_M,TV_201711_A,TV_201711_N,VOD_201711_M,VOD_201711_A,VOD_201711_N
0,1724,2603,4253,522,541,1547
1,411,628,1091,1124,1088,3308
2,1221,1930,3059,1415,1354,4161
3,1654,2396,4170,922,894,2714
4,96,163,251,692,729,2089
5,1593,2448,4089,773,840,2407
6,1345,2057,3288,636,646,1838
7,489,778,1313,406,386,1188
8,567,824,1339,139,115,316
9,293,509,788,988,914,2928
10,286,431,723,271,268,751
11,113,192,295,967,993,2840
12,1999,3146,5325,803,826,2481
13,1558,2308,3664,292,283,895
14,632,952,1626,524,570,1756
15,414,606,990,778,750,2192
16,1456,2109,3605,1383,1413,4194
17,227,293,530,969,948,2913
18,482,711,1297,1368,1315,3947
19,841,1181,2058,1306,1249,3805
20,1106,1612,2592,905,993,2932
21,379,568,943,1133,1080,3307
22,194,272,464,1044,1010,3136
23,117,189,294,1174,1141,3385
24,615,903,1542,552,576,1692
25,690,1015,1625,1351,1332,4217
26,459,696,1155,910,944,2826
27,542,812,1436,578,601,1761
28,1642,2588,4260,795,761,2284
29,2046,3094,5240,1252,1192,3766
30,1342,2079,3299,349,373,1078
31,1752,2710,4478,1055,1043,3062
32,452,600,1018,1132,1166,3432
33,591,948,1521,1113,1075,3362
34,1177,1701,2822,351,360,999
35,1035,1578,2637,1256,1214,3560
36,1289,1911,3340,613,665,1902
37,1778,2630,4472,932,940,2928
38,554,854,1472,70,63,227
39,809,1246,1995,314,304,912
40,631,941,1578,574,598,1738
41,1823,2720,4547,211,209,660
42,323,464,713,1176,1104,3450
43,112,169,289,623,615,1792
44,349,606,935,606,573,1821
45,1268,2019,3253,85,69,236
46,1385,2132,3503,1183,1213,3724
47,521,741,1318,573,588,1719
48,337,496,817,1138,1134,3368
49,1094,1666,2910,1347,1360,3953
50,1673,2439,4168,767,745,2238
51,139,208,343,362,301,957
52,274,380,696,987,949,2984
53,1931,2969,4730,761,801,2368
54,1825,2738,4527,68,78,214
55,1907,2857,4836,69,67,224
56,1775,2766,4459,98,85,237
57,1878,2761,4631,1190,1194,3646
58,251,319,540,956,922,2832
59,1087,1572,2621,835,786,2399
60,1083,1623,2754,334,322,904
61,1814,2675,4391,1195,1212,3623
62,833,1228,1989,438,397,1205
63,1148,1819,2883,1175,1207,3678
64,2034,3178,5318,1250,1221,3769
65,1863,2872,4715,129,126,405
66,1568,2336,3896,673,723,2024
67,1122,1752,2976,776,807,2287
68,1003,1507,2470,649,691,2110
69,592,845,1473,905,892,2823
70,196,289,505,393,380,1207
71,1106,1580,2594,1433,1427,4220
72,1503,2222,3865,908,934,2868
73,2083,3144,5333,1073,1033,3114
74,1285,1909,3316,1337,1311,3892
75,1229,1870,3141,1180,1162,3628
76,113,219,328,951,991,2918
77,224,351,565,396,382,1172
78,2017,3090,5033,519,511,1580
79,1290,1953,3147,1366,1298,3936
80,2087,3176,5237,1418,1297,4095
81,443,643,1134,593,538,1629
82,719,1072,1659,1220,1290,3730
83,1039,1521,2630,1014,1060,2906
84,1542,2270,3868,458,490,1482
85,1651,2425,3994,1259,1200,3691
86,1191,1881,3108,968,997,2865
87,523,754,1213,652,650,1818
88,1510,2456,3954,387,385,1148
89,385,626,1029,534,547,1619
90,1579,2470,3961,377,407,1196
91,502,739,1159,159,154,467
92,720,1091,1759,973,961,2956
93,1860,2735,4615,674,670,2076
94,1438,2042,3420,1389,1406,4255
95,999,1406,2425,1087,1081,3172
96,952,1398,2330,1412,1443,4045
97,1442,2194,3714,1384,1385,3921
98,1919,2917,5004,432,396,1272
99,1842,2633,4405,266,226,708
